"headword"	"pos"	"count"	"%"	"words"
"ab"	"PREP"	18	0.1	"ab"
"caelus, caeli"	"N"	18	0.1	"caelo; caelum"
"descendo, descendere, descendi, descensus"	"V"	18	0.1	"descendit; descendi; descendentem; descenderunt; descende; descendens; descendente; descendentes; descenderet"
"impleo, implere, implevi, impletus"	"V"	18	0.1	"impleatur; impleretur; impletum; impleverunt; impleta; implete; impleti; implevit"
"judico, judicare, judicavi, judicatus"	"V"	18	0.1	"iudico; iudicat; iudicare; iudicate; iudicatus; iudicet; iudicabit; iudicatis; iudicatur"
"lux, lucis"	"N"	18	0.1	"lucem; lux"
"oculus, oculi"	"N"	18	0.1	"oculos; oculis; oculi"
"super"	"ADV"	18	0.1	"super"
"Galilaea, Galilaeae"	"N"	17	0.1	"galilaeam; galilaeae; galilaea"
"ambulo, ambulare, ambulavi, ambulatus"	"V"	17	0.1	"ambulabat; ambula; ambulantem; ambulaverit; ambulabant; ambulabas; ambulabit; ambulare; ambulat; ambulate"
"nascor, nasci, natus sum"	"V"	17	0.1	"natus; nasci; nati; natum; nasceretur"
"post"	"ADV"	17	0.1	"post"
"turba, turbae"	"N"	17	0.1	"turba; turbam"
"caecus, caeca -um, caecior -or -us, caecissimus -a -um"	"ADJ"	16	0.1	"caecus; caeci; caecorum; caeco; caecum"
"fero, ferre, tuli, latus"	"V"	16	0.1	"tulerunt; latus; fert; ferens; ferentem; ferre; ferte; tulit"
"festus, festa, festum"	"ADJ"	16	0.1	"festum; festo; festus"
"fio, feri, factus sum"	"V"	16	0.1	"fieri; fiat; fieret; fiet; fiant; fiatis; fient; fietis"
"gloria, gloriae"	"N"	16	0.1	"gloriam; gloria"
"locus, loci"	"N"	16	0.1	"locum; loco; locus"
"monumentum, monumenti"	"N"	16	0.1	"monumentum; monumento; monumentis"
"rex, regis"	"N"	16	0.1	"rex; regem"
"sequor, sequi, secutus sum"	"V"	16	0.1	"sequere; sequebatur; sequi; sequuntur; sequatur; sequens; sequentem; sequentes; sequentur; sequeris; sequitur"
"servo, servare, servavi, servatus"	"V"	16	0.1	"servat; servaverit; servaverunt; serva; servabam; servabit; servabitis; servabunt; servasti; servaveritis; servavi; serves; servet"
"manus, manus"	"N"	15	0.1	"manus; manu; manibus; manum"
"per"	"PREP"	15	0.1	"per"
"propterea"	"ADV"	15	0.1	"propterea"
"terra, terrae"	"N"	15	0.1	"terram; terra"
"trado, tradere, tradidi, traditus"	"V"	15	0.1	"tradidit; traditurus; tradebat; traderet; traderer; tradet; tradiderunt; tradidissemus; tradit"
